dataset,model,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,best_val_f1,best_val_loss,best_test_accuracy,best_test_f1,best_test_loss,exp_name,best_iter,total_iter,total_epochs
reviews_UIC,roberta-large,1e-05,32,2,456513,0.7345679012345679,0.6712962962962941,0.5180886632958313,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_1e-05_bs_32_max-epochs_2_seed_456513,30000,80808,2
reviews_UIC,roberta-large,1e-05,16,1,254741,0.7291666666666666,0.6656378600823024,0.5299708787811759,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_1e-05_bs_16_max-epochs_1_seed_254741,36000,80809,1
reviews_UIC,roberta-large,3e-06,32,2,550081,0.7237654320987654,0.6574074074074058,0.5272223671185382,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-06_bs_32_max-epochs_2_seed_550081,26000,80808,2
reviews_UIC,roberta-large,1e-05,16,1,541134,0.7214506172839507,0.655349794238681,0.5406852989101115,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_1e-05_bs_16_max-epochs_1_seed_541134,21000,80809,1
reviews_UIC,roberta-large,3e-06,64,1,150986,0.7183641975308642,0.6527777777777761,0.5354193349219398,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-06_bs_64_max-epochs_1_seed_150986,16000,20202,1
reviews_UIC,roberta-large,3e-06,64,1,388769,0.7106481481481481,0.6455761316872413,0.5454342213033894,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-06_bs_64_max-epochs_1_seed_388769,3000,20202,1
reviews_UIC,roberta-large,5e-05,8,1,542086,0.5964506172839507,0.5149176954732501,0.6817955259739616,0.5987654320987654,0.5149176954732498,0.7052238752812515,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_8_max-epochs_1_seed_542086,2,161618,1
reviews_UIC,roberta-large,5e-05,8,2,809991,0.5964506172839507,0.5149176954732501,0.6744269933781506,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_8_max-epochs_2_seed_809991,1000,323236,2
reviews_UIC,roberta-large,5e-05,8,2,692660,0.5964506172839507,0.5149176954732501,0.6744269933781506,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_8_max-epochs_2_seed_692660,1000,323236,2
reviews_UIC,roberta-large,3e-05,16,2,88611,0.5964506172839507,0.5149176954732501,0.6747887744395821,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_16_max-epochs_2_seed_88611,1000,161618,2
reviews_UIC,roberta-large,3e-05,8,2,573987,0.5964506172839507,0.5149176954732501,0.674427291677322,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_8_max-epochs_2_seed_573987,1000,323236,2
reviews_UIC,roberta-large,5e-05,16,1,423866,0.5964506172839507,0.5149176954732501,0.6744548225844348,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_16_max-epochs_1_seed_423866,1000,80809,1
reviews_UIC,roberta-large,5e-05,16,1,301626,0.5964506172839507,0.5149176954732501,0.6744548225844348,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_16_max-epochs_1_seed_301626,1000,80809,1
reviews_UIC,roberta-large,3e-05,8,2,448373,0.5964506172839507,0.5149176954732501,0.674427291677322,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_8_max-epochs_2_seed_448373,1000,323236,2
reviews_UIC,roberta-large,5e-05,16,2,617325,0.5964506172839507,0.5149176954732501,0.6744255498051643,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_16_max-epochs_2_seed_617325,1000,161618,2
reviews_UIC,roberta-large,3e-05,16,2,915530,0.5964506172839507,0.5149176954732501,0.6744246030295337,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_16_max-epochs_2_seed_915530,1000,161618,2
reviews_UIC,roberta-large,3e-05,16,2,886548,0.5964506172839507,0.5149176954732501,0.6744246030295337,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_16_max-epochs_2_seed_886548,1000,161618,2
reviews_UIC,roberta-large,3e-05,8,2,200936,0.5964506172839507,0.5149176954732501,0.674427291677322,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_8_max-epochs_2_seed_200936,1000,323236,2
reviews_UIC,roberta-large,5e-05,16,2,171679,0.5964506172839507,0.5149176954732501,0.6744255498051643,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_16_max-epochs_2_seed_171679,1000,161618,2
reviews_UIC,roberta-large,5e-05,16,2,959110,0.5964506172839507,0.5149176954732501,0.6744255498051643,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_16_max-epochs_2_seed_959110,1000,161618,2
reviews_UIC,roberta-large,3e-05,8,1,770019,0.5964506172839507,0.5149176954732501,0.6744407662822877,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_8_max-epochs_1_seed_770019,1000,161618,1
reviews_UIC,roberta-large,3e-05,16,1,522480,0.5964506172839507,0.5149176954732501,0.6744249257040612,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_16_max-epochs_1_seed_522480,1000,80809,1
reviews_UIC,roberta-large,5e-05,8,1,831867,0.5964506172839507,0.5149176954732501,0.6744345837721119,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_5e-05_bs_8_max-epochs_1_seed_831867,1000,161618,1
reviews_UIC,roberta-large,3e-05,16,1,871020,0.5964506172839507,0.5149176954732501,0.6744356974039549,0.0,0.0,0.0,reviews_UIC_roberta-large_max-length_512_lr_3e-05_bs_16_max-epochs_1_seed_871020,1000,80809,1
